institution_id,institution_slug,institution_name,institution_type,city,state_code,country_code,latitude,longitude,website_url
211,university-of-massachusetts-boston-boston-ma-us,University of Massachusetts Boston,,BOSTON,MA,US,,,
84,university-of-massachusetts-lowell-lowell-ma-us,University of Massachusetts Lowell,,LOWELL,MA,US,,,
272,university-of-massachusetts-dartmouth-north-dartmouth-ma-us,"University of Massachusetts, Dartmouth",,NORTH DARTMOUTH,MA,US,,,
306,university-of-memphis-memphis-tn-us,University of Memphis,,MEMPHIS,TN,US,,,
36,university-of-miami-coral-gables-fl-us,University of Miami,,CORAL GABLES,FL,US,,,
3,university-of-michigan-ann-arbor-mi-us,University of Michigan,,Ann Arbor,MI,US,,,
5,university-of-minnesota-minneapolis-mn-us,University of Minnesota,,Minneapolis,MN,US,,,
115,university-of-minnesota-twin-cities-minneapolis-mn-us,University of Minnesota-Twin Cities,,MINNEAPOLIS,MN,US,,,
79,university-of-mississippi-university-ms-us,University of Mississippi,,UNIVERSITY,MS,US,,,
82,university-of-missouri-columbia-columbia-mo-us,University of Missouri-Columbia,,Columbia,MO,US,,,
213,university-of-missouri-kansas-city-kansas-city-mo-us,University of Missouri-Kansas City,,KANSAS CITY,MO,US,,,
273,university-of-nebraska-at-omaha-omaha-ne-us,University of Nebraska at Omaha,,OMAHA,NE,US,,,
137,university-of-nebraska-lincoln-lincoln-ne-us,University of Nebraska-Lincoln,,LINCOLN,NE,US,,,
6,university-of-nebraskaalincoln-lincoln-ne-us,University of Nebraskaâ€“Lincoln,,Lincoln,NE,US,,,
112,university-of-nevada-las-vegas-las-vegas-nv-us,University of Nevada Las Vegas,,LAS VEGAS,NV,US,,,
113,university-of-new-hampshire-durham-nh-us,University of New Hampshire,,DURHAM,NH,US,,,
274,university-of-new-haven-west-haven-ct-us,University of New Haven,,WEST HAVEN,CT,US,,,
99,university-of-new-mexico-albuquerque-nm-us,University of New Mexico,,ALBUQUERQUE,NM,US,,,
308,university-of-new-orleans-new-orleans-la-us,University of New Orleans,,NEW ORLEANS,LA,US,,,
107,university-of-north-carolina-greensboro-greensboro-nc-us,University of North Carolina Greensboro,,GREENSBORO,NC,US,,,
168,university-of-north-carolina-at-chapel-hill-chapel-hill-nc-us,University of North Carolina at Chapel Hill,,CHAPEL HILL,NC,US,,,
58,university-of-north-carolina-at-charlotte-charlotte-nc-us,University of North Carolina at Charlotte,,CHARLOTTE,NC,US,,,
155,university-of-north-dakota-main-campus-grand-forks-nd-us,University of North Dakota Main Campus,,GRAND FORKS,ND,US,,,
